1.9,-1.7,12.993,12.996,12.889
1.5,-1.7,12.947,13.031,13.161
1.1,-1.7,12.473,12.823,12.706
0.7,-1.7,12.997,12.624,12.745
0.3,-1.7,12.757,12.617,12.924
-0.1,-1.7,13.392,13.386,13.47
-0.5,-1.7,13.885,14.09,13.996
-0.9,-1.7,15.213,16.059,15.595
-1.3,-1.7,13.503,13.958,13.705
-1.7,-1.7,12.59,12.948,12.755
-2.1,-1.7,12.972,12.776,12.861
1.7,-1.3,13.072,12.696,12.878
1.3,-1.3,12.98,12.528,12.648
0.9,-1.3,12.364,12.92,12.518
0.5,-1.3,12.921,12.79,13.084
0.1,-1.3,12.457,12.748,12.506
-0.3,-1.3,13.514,13.768,13.647
-0.7,-1.3,15.823,15.73,15.859
-1.1,-1.3,14.741,15.15,14.869
-1.5,-1.3,12.446,12.202,12.238
-1.9,-1.3,12.58,12.94,12.798
1.9,-0.9,12.793,12.804,12.808
1.5,-0.9,12.791,12.563,12.688
1.1,-0.9,12.536,13.001,12.897
0.7,-0.9,12.744,12.758,12.692
0.3,-0.9,12.816,12.645,12.819
-0.1,-0.9,12.62,12.557,12.543
-0.5,-0.9,14.127,14.548,14.35
-0.9,-0.9,16.008,15.529,15.526
-1.3,-0.9,12.895,12.738,12.807
-1.7,-0.9,13.02,13.037,12.78
-2.1,-0.9,13.151,13.16,12.92
1.7,-0.5,12.691,12.961,12.78
1.3,-0.5,13.083,12.802,13.007
0.9,-0.5,12.887,12.979,13.073
0.5,-0.5,12.704,12.525,12.548
0.1,-0.5,12.08,12.027,12.017
-0.3,-0.5,13.134,13.739,13.607
-0.7,-0.5,17.419,17.351,17.193
-1.1,-0.5,13.54,13.419,13.319
-1.5,-0.5,12.792,13.057,12.74
-1.9,-0.5,12.87,12.942,12.756
-2.1,-0.1,12.578,13.068,12.748
-1.7,-0.1,12.966,12.603,12.726
-1.3,-0.1,11.672,11.658,11.515
-0.9,-0.1,14.283,14.391,14.337
-0.5,-0.1,16.323,15.962,15.964
-0.1,-0.1,12.01,12.065,11.876
0.3,-0.1,12.879,12.591,12.747
0.7,-0.1,12.895,12.987,13
1.1,-0.1,12.572,12.908,12.716
1.5,-0.1,12.859,12.836,12.618
1.9,-0.1,12.81,13.095,12.883
1.7,0.3,12.826,12.588,12.712
1.3,0.3,12.368,12.625,12.511
0.9,0.3,12.774,12.784,12.801
0.5,0.3,12.769,12.977,12.934
0.1,0.3,11.882,11.861,11.666
-0.3,0.3,11.888,12.209,12.031
-0.7,0.3,19.299,19.482,19.382
-1.1,0.3,11.743,11.66,11.816
-1.5,0.3,12.613,12.656,12.57
-1.9,0.3,12.942,12.709,12.86
-2.1,0.7,13.021,12.595,12.919
-1.7,0.7,13.149,12.759,12.85
-1.3,0.7,11.571,11.56,11.716
-0.9,0.7,11.61,11.626,11.521
-0.5,0.7,20.167,20.067,20.3
-0.1,0.7,11.806,11.786,11.664
0.3,0.7,12.913,13.322,13.083
0.7,0.7,12.97,12.888,12.804
1.1,0.7,12.825,13.239,13.093
1.5,0.7,12.503,12.903,12.464
1.9,0.7,12.595,12.789,12.839
1.7,1.1,13.268,13.136,13.186
1.3,1.1,12.58,12.658,12.657
0.9,1.1,12.749,12.429,12.683
0.5,1.1,12.906,12.805,12.917
0.1,1.1,11.615,11.84,11.695
-0.3,1.1,11.789,11.76,11.97
-0.7,1.1,11.901,11.759,11.996
-1.1,1.1,12.865,12.725,12.678
-1.5,1.1,12.822,12.792,12.793
-1.9,1.1,13.386,12.948,13.105
-2.1,1.5,12.831,12.812,12.833
-1.7,1.5,12.622,13.155,12.808
-1.3,1.5,12.694,12.97,12.993
-0.9,1.5,12.868,12.632,12.699
-0.5,1.5,12.861,12.963,12.799
-0.1,1.5,12.935,12.818,12.782
0.3,1.5,12.95,12.767,12.652
0.7,1.5,13.141,13.351,13.138
1.1,1.5,12.741,12.877,12.711
1.5,1.5,13.021,12.827,12.846
1.9,1.5,12.821,12.998,12.946
1.7,1.9,12.854,12.782,13.023
1.3,1.9,13.266,13.06,13.369
0.9,1.9,12.602,13.044,12.825
0.5,1.9,13.035,12.566,12.804
0.1,1.9,13.388,13.17,13.267
-0.3,1.9,13.146,12.475,12.742
-0.7,1.9,12.921,12.86,13.104
-1.1,1.9,12.737,12.623,12.742
-1.5,1.9,12.449,12.84,12.65
-1.9,1.9,12.645,12.902,12.738
