1.7,-1.7,11.611,12.005,11.968,11.674,11.586,12.017,11.516,11.633,12.072,12.043,11.909,11.993
1.3,-1.7,11.549,11.834,11.84,11.879,11.808,11.688,11.583,11.622,11.603,12.019,11.969,11.857
0.9,-1.7,11.778,12.004,11.546,11.677,12.083,11.696,11.754,11.874,12.044,11.572,11.984,11.969
0.5,-1.7,11.518,11.623,11.651,11.873,11.889,12.004,11.959,11.935,11.951,12.073,11.659,12.093
0.1,-1.7,11.892,11.476,11.472,11.198,11.775,11.612,11.641,11.753,11.44,11.49,11.637,11.863
-0.3,-1.7,11.79,11.608,11.569,12.178,12.545,12.208,11.657,11.733,11.63,11.962,12.192,12.076
-0.7,-1.7,13.444,13.417,13.802,14.495,13.908,14.158,13.08,13.629,13.457,13.52,13.725,12.879
-1.1,-1.7,13.755,14.054,13.058,14.105,13.407,12.935,13.704,13.257,13.099,14.4,13.382,12.977
-1.5,-1.7,13.64,12.832,13.159,12.011,12.232,12.361,12.538,12.037,12.054,13.296,12.171,12.766
-1.9,-1.7,11.761,11.873,11.58,11.529,11.869,11.796,11.815,12.001,11.672,11.765,12.038,11.973
1.9,-1.3,11.835,11.604,11.839,12.097,11.782,11.531,11.953,11.511,11.876,12.025,11.865,12.012
1.5,-1.3,11.883,11.674,11.825,11.624,11.847,11.967,11.602,11.621,11.778,12.019,11.509,11.791
1.1,-1.3,11.521,11.511,11.541,11.864,12.047,11.756,11.904,11.781,11.578,11.713,11.706,12.024
0.7,-1.3,11.926,11.921,12.093,11.709,11.726,11.668,11.871,11.727,11.83,11.879,11.82,11.7
0.3,-1.3,11.602,12.071,11.651,11.931,11.637,11.7,11.504,11.704,12.082,12.019,11.877,11.623
-0.1,-1.3,11.871,12.066,11.937,12.118,11.766,11.667,11.52,11.515,11.804,11.624,11.891,11.707
-0.5,-1.3,12.624,12.874,12.896,12.74,12.96,12.881,13.43,13.051,12.9,13.486,14.01,13.647
-0.9,-1.3,14.743,15.337,13.786,12.633,14.292,14.009,14.172,13.509,13.509,14.229,14.372,13.804
-1.3,-1.3,11.505,11.963,12.16,12.777,12.771,12.583,12.65,12.314,12.196,12.723,12.412,11.895
-1.7,-1.3,11.856,11.949,11.689,11.517,11.754,11.72,11.944,11.538,11.765,11.513,11.768,11.797
-2.1,-1.3,11.865,11.954,11.68,11.54,11.664,11.977,12.095,11.957,11.855,11.546,11.987,11.519
1.7,-0.9,11.963,11.825,11.525,12.056,11.767,11.523,11.577,11.742,11.567,11.726,11.587,11.997
1.3,-0.9,11.534,11.669,11.817,11.553,11.877,11.936,11.716,11.905,11.62,11.59,12.085,11.659
0.9,-0.9,12.013,11.647,11.654,11.699,11.821,12.024,11.615,11.831,11.598,11.52,12,11.906
